Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,updateDate,FIPS,Admin2,Lat,Long_,Active,Combined_Key,Latitude,Longitude
Bavaria,Germany,1/28/20 23:00,4.0,,,2020-01-28,,,,,,,,
Bavaria,Germany,1/29/20 19:30,4.0,,,2020-01-29,,,,,,,,
Bavaria,Germany,1/30/20 16:00,4.0,,,2020-01-30,,,,,,,,
Bavaria,Germany,1/31/2020 23:59,5.0,,,2020-01-31,,,,,,,,
,Germany,2/1/2020 18:33,8.0,0.0,0.0,2020-02-01,,,,,8.0,,,
,Germany,2020-02-02T18:03:05,10.0,0.0,0.0,2020-02-02,,,,,10.0,,,
,Germany,2020-02-03T20:53:02,12.0,0.0,0.0,2020-02-05,,,,,12.0,,,
,Germany,2020-02-03T20:53:02,12.0,0.0,0.0,2020-02-04,,,,,12.0,,,
,Germany,2020-02-03T20:53:02,12.0,0.0,0.0,2020-02-03,,,,,12.0,,,
,Germany,2020-02-03T20:53:02,12.0,0.0,0.0,2020-02-06,,,,,12.0,,,
,Germany,2020-02-07T16:33:03,13.0,0.0,0.0,2020-02-08,,,,,13.0,,,
,Germany,2020-02-07T16:33:03,13.0,0.0,0.0,2020-02-07,,,,,13.0,,,
,Germany,2020-02-09T06:13:11,14.0,0.0,0.0,2020-02-09,,,,,14.0,,,
,Germany,2020-02-09T06:13:11,14.0,0.0,0.0,2020-02-10,,,,,14.0,,,
,Germany,2020-02-11T19:33:03,16.0,0.0,0.0,2020-02-12,,,,,16.0,,,
,Germany,2020-02-11T19:33:03,16.0,0.0,0.0,2020-02-11,,,,,16.0,,,
,Germany,2020-02-13T15:13:11,16.0,0.0,1.0,2020-02-13,,,,,15.0,,,
,Germany,2020-02-13T15:13:11,16.0,0.0,1.0,2020-02-15,,,,,15.0,,,
,Germany,2020-02-13T15:13:11,16.0,0.0,1.0,2020-02-14,,,,,15.0,,,
,Germany,2020-02-13T15:13:11,16.0,0.0,1.0,2020-02-16,,,,,15.0,,,
