Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,updateDate,FIPS,Admin2,Lat,Long_,Active,Combined_Key,Latitude,Longitude
Unassigned Location (From Diamond Princess),US,2020-02-26T20:03:06,42.0,0.0,0.0,2020-02-26,,,,,42.0,,,
"Chicago, IL",US,2020-02-09T19:03:03,2.0,0.0,2.0,2020-02-26,,,,,0.0,,,
"San Benito, CA",US,2020-02-03T03:53:02,2.0,0.0,0.0,2020-02-26,,,,,2.0,,,
"San Diego County, CA",US,2020-02-21T05:43:02,2.0,0.0,1.0,2020-02-26,,,,,1.0,,,
"Santa Clara, CA",US,2020-02-21T05:23:04,2.0,0.0,1.0,2020-02-26,,,,,1.0,,,
"Boston, MA",US,2020-02-01T19:43:03,1.0,0.0,0.0,2020-02-26,,,,,1.0,,,
"Humboldt County, CA",US,2020-02-21T05:13:09,1.0,0.0,0.0,2020-02-26,,,,,1.0,,,
"Los Angeles, CA",US,2020-02-01T19:53:03,1.0,0.0,0.0,2020-02-26,,,,,1.0,,,
"Madison, WI",US,2020-02-05T21:53:02,1.0,0.0,0.0,2020-02-26,,,,,1.0,,,
"Orange, CA",US,2020-02-01T19:53:03,1.0,0.0,0.0,2020-02-26,,,,,1.0,,,
"Sacramento County, CA",US,2020-02-21T23:13:16,1.0,0.0,0.0,2020-02-26,,,,,1.0,,,
"San Antonio, TX",US,2020-02-13T18:53:02,1.0,0.0,0.0,2020-02-26,,,,,1.0,,,
"Seattle, WA",US,2020-02-09T07:03:04,1.0,0.0,1.0,2020-02-26,,,,,0.0,,,
"Tempe, AZ",US,2020-02-25T21:23:03,1.0,0.0,1.0,2020-02-26,,,,,0.0,,,
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0.0,0.0,0.0,2020-02-26,,,,,0.0,,,
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0.0,0.0,0.0,2020-02-26,,,,,0.0,,,
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0.0,0.0,0.0,2020-02-26,,,,,0.0,,,
Unassigned Location (From Diamond Princess),US,2020-02-26T20:03:06,42.0,0.0,0.0,2020-02-27,,,,,42.0,,,
"Chicago, IL",US,2020-02-09T19:03:03,2.0,0.0,2.0,2020-02-27,,,,,0.0,,,
"Sacramento County, CA",US,2020-02-27T20:33:02,2.0,0.0,0.0,2020-02-27,,,,,2.0,,,
"San Benito, CA",US,2020-02-03T03:53:02,2.0,0.0,0.0,2020-02-27,,,,,2.0,,,
"San Diego County, CA",US,2020-02-21T05:43:02,2.0,0.0,1.0,2020-02-27,,,,,1.0,,,
"Santa Clara, CA",US,2020-02-21T05:23:04,2.0,0.0,1.0,2020-02-27,,,,,1.0,,,
"Boston, MA",US,2020-02-01T19:43:03,1.0,0.0,0.0,2020-02-27,,,,,1.0,,,
"Humboldt County, CA",US,2020-02-21T05:13:09,1.0,0.0,0.0,2020-02-27,,,,,1.0,,,
"Los Angeles, CA",US,2020-02-01T19:53:03,1.0,0.0,0.0,2020-02-27,,,,,1.0,,,
"Madison, WI",US,2020-02-05T21:53:02,1.0,0.0,0.0,2020-02-27,,,,,1.0,,,
"Orange, CA",US,2020-02-01T19:53:03,1.0,0.0,0.0,2020-02-27,,,,,1.0,,,
"San Antonio, TX",US,2020-02-13T18:53:02,1.0,0.0,0.0,2020-02-27,,,,,1.0,,,
"Seattle, WA",US,2020-02-09T07:03:04,1.0,0.0,1.0,2020-02-27,,,,,0.0,,,
"Tempe, AZ",US,2020-02-25T21:23:03,1.0,0.0,1.0,2020-02-27,,,,,0.0,,,
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0.0,0.0,0.0,2020-02-27,,,,,0.0,,,
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0.0,0.0,0.0,2020-02-27,,,,,0.0,,,
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0.0,0.0,0.0,2020-02-27,,,,,0.0,,,
"Chicago, IL",US,2020-02-09T19:03:03,2.0,0.0,2.0,2020-02-18,,,,,0.0,,,
"San Benito, CA",US,2020-02-03T03:53:02,2.0,0.0,0.0,2020-02-18,,,,,2.0,,,
"San Diego County, CA",US,2020-02-13T03:13:08,2.0,0.0,0.0,2020-02-18,,,,,2.0,,,
"Santa Clara, CA",US,2020-02-03T00:43:02,2.0,0.0,0.0,2020-02-18,,,,,2.0,,,
"Boston, MA",US,2020-02-01T19:43:03,1.0,0.0,0.0,2020-02-18,,,,,1.0,,,
"Los Angeles, CA",US,2020-02-01T19:53:03,1.0,0.0,0.0,2020-02-18,,,,,1.0,,,
"Madison, WI",US,2020-02-05T21:53:02,1.0,0.0,0.0,2020-02-18,,,,,1.0,,,
"Orange, CA",US,2020-02-01T19:53:03,1.0,0.0,0.0,2020-02-18,,,,,1.0,,,
"San Antonio, TX",US,2020-02-13T18:53:02,1.0,0.0,0.0,2020-02-18,,,,,1.0,,,
"Seattle, WA",US,2020-02-09T07:03:04,1.0,0.0,1.0,2020-02-18,,,,,0.0,,,
"Tempe, AZ",US,2020-02-01T19:43:03,1.0,0.0,0.0,2020-02-18,,,,,1.0,,,
"Chicago, IL",US,2020-02-09T19:03:03,2.0,0.0,2.0,2020-02-19,,,,,0.0,,,
"San Benito, CA",US,2020-02-03T03:53:02,2.0,0.0,0.0,2020-02-19,,,,,2.0,,,
"San Diego County, CA",US,2020-02-13T03:13:08,2.0,0.0,0.0,2020-02-19,,,,,2.0,,,
