index,updateDate,provinceName,Confirmed,Deaths,Recovered,Active,newConfirmed
0,2020-03-03," Norfolk County, MA",1.0,0.0,0.0,0.0,1.0
1,2020-03-04," Norfolk County, MA",1.0,0.0,0.0,0.0,0.0
2,2020-03-05," Norfolk County, MA",1.0,0.0,0.0,0.0,0.0
3,2020-03-06," Norfolk County, MA",2.0,0.0,0.0,0.0,1.0
4,2020-03-07," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
5,2020-03-08," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
6,2020-03-09," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
7,2020-03-10," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
8,2020-03-11," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
9,2020-03-12," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
10,2020-03-13," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
11,2020-03-14," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
12,2020-03-15," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
13,2020-03-16," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
14,2020-03-17," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
15,2020-03-18," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
16,2020-03-19," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
17,2020-03-20," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
18,2020-03-21," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
19,2020-03-22," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
20,2020-03-23," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
21,2020-03-24," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
22,2020-03-25," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
23,2020-03-26," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
24,2020-03-27," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
25,2020-03-28," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
26,2020-03-29," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
27,2020-03-30," Norfolk County, MA",2.0,0.0,0.0,0.0,0.0
0,2020-03-13,Alabama,5.0,0.0,0.0,0.0,5.0
1,2020-03-14,Alabama,6.0,0.0,0.0,0.0,1.0
2,2020-03-15,Alabama,12.0,0.0,0.0,0.0,6.0
3,2020-03-16,Alabama,29.0,0.0,0.0,0.0,17.0
4,2020-03-17,Alabama,39.0,0.0,0.0,0.0,10.0
5,2020-03-18,Alabama,46.0,0.0,0.0,0.0,7.0
6,2020-03-19,Alabama,78.0,0.0,0.0,0.0,32.0
7,2020-03-20,Alabama,83.0,0.0,0.0,0.0,5.0
